channel,file,physical_loc,normalized_lines,match5_lines,match5_percent,match10_lines,match10_percent,best_reference
slack,client/web-api.ts,492,357,5,1.40,0,0.00,client-options.ts
slack,conversation-metadata.ts,23,28,0,0.00,0,0.00,
slack,entry.ts,24,12,0,0.00,0,0.00,
slack,index.ts,8,4,0,0.00,0,0.00,
slack,lifecycle/start-account.ts,301,181,0,0.00,0,0.00,
slack,mrkdwn.ts,336,260,0,0.00,0,0.00,
slack,outbound-media.ts,116,83,0,0.00,0,0.00,
slack,outbound.ts,282,193,0,0.00,0,0.00,
slack,plugin.ts,46,26,0,0.00,0,0.00,
slack,runtime.ts,29,11,0,0.00,0,0.00,
slack,transport/approval-card.ts,106,62,0,0.00,0,0.00,
slack,transport/media.ts,245,164,0,0.00,0,0.00,
slack,transport/socket-event-filter.ts,295,185,5,2.70,0,0.00,monitor/channel-type.ts
slack,transport/socket-mode.ts,372,228,0,0.00,0,0.00,
slack,transport/socket-pool.ts,131,120,0,0.00,0,0.00,
slack,transport/socket-reconnect.ts,198,138,6,4.35,0,0.00,monitor/reconnect-policy.ts
slack,typing.ts,342,281,0,0.00,0,0.00,
telegram,client/bot-api.ts,629,418,0,0.00,0,0.00,
telegram,client/sent-messages.ts,38,22,0,0.00,0,0.00,
telegram,conversation-metadata.ts,29,19,0,0.00,0,0.00,
telegram,entry.ts,20,11,0,0.00,0,0.00,
telegram,format-html.ts,103,86,82,95.35,82,95.35,format-html.ts
telegram,format-sanitize.ts,282,203,175,86.21,157,77.34,format.ts
telegram,format.ts,672,574,81,14.11,24,4.18,packages/markdown-core/src/ir.ts
telegram,html-tags.ts,79,61,49,80.33,43,70.49,packages/markdown-core/src/html-tags.ts
telegram,index.ts,25,12,0,0.00,0,0.00,
telegram,leaves/coerce.ts,93,84,0,0.00,0,0.00,
telegram,leaves/rich-message.ts,65,41,0,0.00,0,0.00,
telegram,leaves/telegram-policy.ts,178,109,0,0.00,0,0.00,
telegram,lifecycle/start-account.ts,285,208,0,0.00,0,0.00,
telegram,outbound-media.ts,134,87,0,0.00,0,0.00,
telegram,outbound.ts,202,140,0,0.00,0,0.00,
telegram,plugin.ts,39,22,0,0.00,0,0.00,
telegram,runtime-store.ts,79,53,0,0.00,0,0.00,
telegram,telegram-html-chunk.ts,236,190,169,88.95,169,88.95,format.ts
telegram,transport/approval-callback.ts,104,53,0,0.00,0,0.00,
telegram,transport/media.ts,226,178,0,0.00,0,0.00,
telegram,transport/poll.ts,517,399,0,0.00,0,0.00,
telegram,typing.ts,145,81,0,0.00,0,0.00,
shared,entry.ts,83,40,0,0.00,0,0.00,
shared,host.ts,180,101,0,0.00,0,0.00,
shared,index.ts,48,10,0,0.00,0,0.00,
shared,media-policy.ts,115,70,0,0.00,0,0.00,
shared,media.ts,89,68,0,0.00,0,0.00,
shared,monitor.ts,242,157,0,0.00,0,0.00,
shared,plugin.ts,71,48,0,0.00,0,0.00,
